"Symbol","Description","Universe"
"A","Agilent Technologies Inc","Domestic"
"AA","Alcoa Corp","Domestic"
"AACH","AAC Holdings Inc","Domestic"
"AACS","American Commerce Solutions Inc","Domestic"
"AAGC","All American Gold Corp","Domestic"
"AAGH","America Great Health","Domestic"
"AAIIQ","Alabama Aircraft Industries Inc","Domestic"
"AAL","American Airlines Group Inc","Domestic"
"AAMC","Altisource Asset Management Corp","Domestic"
"AAME","Atlantic American Corp","Domestic"
"AAMTF","Armada Mercantile Ltd","Domestic"
"AAN","Aaron's Inc","Domestic"
"AAOI","Applied Optoelectronics Inc","Domestic"
"AAON","Aaon Inc","Domestic"
"AAP","Advance Auto Parts Inc","Domestic"
"AAPJ","AAP Inc","Domestic"
"AAPL","Apple Inc","Domestic"
"AAPT","All American Pet Co Inc","Domestic"
"AASP","All-American Sportpark Inc","Domestic"
"AAT","American Assets Trust Inc","Domestic"
"AATV","Adaptive Ad Systems Inc","Domestic"
"AAWC","Alexandria Advantage Warranty Co","Domestic"
"AAWW","Atlas Air Worldwide Holdings Inc","Domestic"
"AAXN","Axon Enterprise Inc","Domestic"
"AB","AllianceBernstein Holding LP","Domestic"
"ABBB","Auburn Bancorp Inc","Domestic"
"ABBV","Abbvie Inc","Domestic"
"ABBY","Abby Inc","Domestic"
"ABC","AmerisourceBergen Corp","Domestic"
"ABCB","Ameris Bancorp","Domestic"
"ABCP","AmBase Corp","Domestic"
"ABDR","Ambassador Food Services Corp","Domestic"
"ABEO","Abeona Therapeutics Inc","Domestic"
"ABG","Asbury Automotive Group Inc","Domestic"
"ABIO","ARCA Biopharma Inc","Domestic"
"ABLE","Able Energy Inc","Domestic"
"ABLT","American Biltrite Inc","Domestic"
"ABM","ABM Industries Inc","Domestic"
"ABMC","American Bio Medica Corp","Domestic"
"ABMD","ABIOMED Inc","Domestic"
"ABML","American Battery Metals Corp","Domestic"
"ABMT","Advanced Biomedical Technologies Inc","Domestic"
"ABR","Arbor Realty Trust Inc","Domestic"
"ABT","Abbott Laboratories","Domestic"
"ABTI","Alterola Biotech Inc","Domestic"
"ABTX","Allegiance Bancshares Inc","Domestic"
"ABUS","Arbutus Biopharma Corp","Domestic"
"ABVC","American Brivision (Holding) Corp","Domestic"
"ABWN","Airborne Wireless Network","Domestic"
"AC","Associated Capital Group Inc","Domestic"
"ACA","Arcosa Inc","Domestic"
"ACAD","ACADIA Pharmaceuticals Inc","Domestic"
"ACAN","Americann Inc","Domestic"
"ACBCQ","Albina Community Bancorp","Domestic"
"ACBD","Annabidiol Corp","Domestic"
"ACBI","Atlantic Capital Bancshares Inc","Domestic"
"ACBM","ACRO Biomedical Co Ltd","Domestic"
"ACC","American Campus Communities Inc","Domestic"
"ACCA","Acacia Diversified Holdings Inc","Domestic"
"ACCO","ACCO Brands Corp","Domestic"
"ACCR","Access-Power & Co Inc","Domestic"
"ACER","Acer Therapeutics Inc","Domestic"
"ACFL","AMC Financial Holdings Inc","Domestic"
"ACFN","Acorn Energy Inc","Domestic"
"ACGI","Amacore Group Inc","Domestic"
"ACGJ","ACI Global Corp","Domestic"
"ACGL","Arch Capital Group Ltd","Domestic"
"ACGX","Alliance Creative Group Inc","Domestic"
"ACHC","Acadia Healthcare Company Inc","Domestic"
"ACIA","Acacia Communications Inc","Domestic"
"ACIW","ACI Worldwide Inc","Domestic"
"ACLS","Axcelis Technologies Inc","Domestic"
"ACM","AECOM","Domestic"
"ACMB","Agro Capital Management Corp","Domestic"
"ACMR","ACM Research Inc","Domestic"
"ACMT","ACMAT Corp","Domestic"
"ACMTA","ACMAT Corp","Domestic"
"ACN","Accenture PLC","Domestic"
"ACNB","ACNB Corp","Domestic"
"ACNI","American Community Newspapers Inc","Domestic"
"ACOR","Acorda Therapeutics Inc","Domestic"
"ACRE","Ares Commercial Real Estate Corp","Domestic"
"ACRGF","Acreage Holdings Inc","Domestic"
"ACRS","Aclaris Therapeutics Inc","Domestic"
"ACRX","AcelRx Pharmaceuticals Inc","Domestic"
"ACTG","Acacia Research Corp","Domestic"
"ACTL","Artec Global Media Inc","Domestic"
"ACU","Acme United Corp","Domestic"
"ACUR","Acura Pharmaceuticals Inc","Domestic"
"ACUS","Acusphere Inc","Domestic"
"ACY","AeroCentury Corp","Domestic"
"ADAC","Adama Technologies Corp","Domestic"
"ADBE","Adobe Inc","Domestic"
"ADBN","Americana Distribution Inc","Domestic"
"ADC","Agree Realty Corp","Domestic"
"ADDC","Addmaster Corp","Domestic"
"ADEC","Alternative Energy Development Corp","Domestic"
"ADES","Advanced Emissions Solutions Inc","Domestic"
"ADFS","American Defense Systems Inc","Domestic"
"ADFT","ADFITECH Inc","Domestic"
"ADGL","AllDigital Holdings Inc","Domestic"
"ADGO","Advantego Corporation","Domestic"
"ADHC","American Diversified Holdings Corp","Domestic"
"ADI","Analog Devices Inc","Domestic"
"ADIA","Adia Nutrition Inc","Domestic"
"ADIL","Adial Pharmaceuticals Inc","Domestic"
"ADKT","Adirondack Trust Co","Domestic"
"ADLI","American Medical Technologies Inc","Domestic"
"ADM","Archer Daniels Midland Co","Domestic"
"ADMA","ADMA Biologics Inc","Domestic"
"ADMP","Adamis Pharmaceuticals Corp","Domestic"
"ADMS","Adamas Pharmaceuticals Inc","Domestic"
"ADMT","ADM Tronics Unlimited Inc","Domestic"
"ADNT","Adient PLC","Domestic"
"ADNY","Adino Energy Corp","Domestic"
"ADOM","Adomani Inc","Domestic"
"ADP","Automatic Data Processing Inc","Domestic"
"ADPAJ","Adelphia Recovery Trust","Domestic"
"ADPAS","Adelphia Recovery Trust","Domestic"
"ADPT","Adaptive Biotechnologies Corp","Domestic"
"ADRO","Aduro Biotech Inc","Domestic"
"ADS","Alliance Data Systems Corp","Domestic"
