"Symbol","Description","Price/Earnings (TTM)","Price/Sales (TTM)","Moving Average Convergence Divergence (MACD)","50 & 200 Day SMA Cross","Price","Schwab Equity Rating"
"ACBI","Atlantic Capital Bancshares Inc","9.53","2.32","--","--","$9.95","A"
"ADT","ADT Inc","--","0.87","--","--","$6.02","A"
"AES","AES Corp","26.86","0.79","--","--","$11.75","A"
"AMAL","Amalgamated Bank","6.62","1.50","--","--","$9.54","A"
"AMKR","Amkor Technology Inc","10.89","0.53","--","--","$9.39","A"
"ANGO","AngioDynamics Inc","--","1.47","Bearish","--","$10.00","A"
"APY","Apergy Corp","--","0.60","Bearish","--","$8.45","A"
"ARA","American Renal Associates Holdings Inc","--","0.26","--","--","$6.25","A"
"ARNC","Arconic Corp (PITTSBURGH)","--","--","--","--","$8.34","A"
"ATEN","A10 Networks Inc","--","2.39","--","--","$6.55","A"
"BDN","Brandywine Realty Trust","40.56","2.57","--","--","$8.57","A"
"BDSI","BioDelivery Sciences International Inc","--","3.35","--","--","$4.35","A"
"BSRR","Sierra Bancorp","7.24","2.06","--","--","$16.36","A"
"BY","Byline Bancorp Inc","7.80","1.34","--","--","$9.48","A"
"CAL","Caleres Inc","3.83","0.08","--","--","$5.90","A"
"CATO","Cato Corp","6.95","0.29","--","--","$10.13","A"
"CBNK","Capital Bancorp Inc","8.75","1.46","--","--","$10.30","A"
"CBTX","CBTX Inc","8.74","2.68","Bearish","--","$16.60","A"
"CMC","Commercial Metals Co","5.72","0.30","--","--","$14.81","A"
"CMRE","Costamare Inc","4.84","1.04","--","--","$4.21","A"
"CNR","Cornerstone Building Brands Inc","--","0.11","--","--","$4.45","A"
"CORR","CorEnergy Infrastructure Trust Inc","--","1.74","--","--","$10.98","A"
"CORT","Corcept Therapeutics Inc","16.21","4.81","--","--","$14.06","A"
"CRD/A","Crawford & Co","--","--","--","--","$5.78","A"
"CTL","Centurylink Inc","8.24","0.46","--","--","$9.27","A"
"CTRN","Citi Trends Inc","8.10","0.16","--","--","$11.53","A"
"CVCY","Central Valley Community Bancorp","7.38","1.96","--","--","$12.73","A"
"CWCO","Consolidated Water Co Ltd","23.83","2.95","--","--","$13.45","A"
"CWEN/A","Clearway Energy Inc","--","3.68","--","--","$18.97","A"
"DLX","Deluxe Corp","--","0.41","--","--","$19.50","A"
"EGAN","eGain Corp","59.82","4.26","--","--","$9.79","A"
"ENDP","Endo International PLC","--","0.29","--","--","$3.81","A"
"FCBP","First Choice Bancorp (California)","6.37","1.88","Bullish","--","$13.76","A"
"FHB","First Hawaiian Inc","7.31","2.38","--","--","$13.98","A"
"FISI","Financial Institutions Inc","6.23","1.33","--","--","$14.37","A"
"FSTR","L.B. Foster Co","3.13","0.18","--","--","$10.84","A"
"FTI","TechnipFMC PLC","--","0.21","--","--","$6.52","A"
"GMRE","Global Medical REIT Inc","88.09","5.56","--","--","$9.53","A"
"GMS","GMS Inc","9.31","0.23","--","--","$17.74","A"
"GPK","Graphic Packaging Holding Co","27.47","0.57","--","--","$12.70","A"
"HBT","HBT Financial Inc","4.17","2.03","--","--","$10.91","A"
"HCKT","Hackett Group Inc","18.98","1.34","--","--","$12.74","A"
"HIBB","Hibbett Sports Inc","9.85","0.21","Bearish","--","$15.08","A"
"HPE","Hewlett Packard Enterprise Co","9.35","0.41","--","--","$9.11","A"
"HPQ","HP Inc","7.51","0.36","--","--","$14.86","A"
"HUD","Hudson Ltd","32.37","0.21","--","--","$4.52","A"
"IDT","IDT Corp","182.79","0.11","--","--","$5.63","A"
"IGT","International Game Technology PLC","--","0.30","--","--","$6.93","A"
"INOV","Inovalon Holdings Inc","165.94","3.84","--","--","$16.08","A"
"INVA","Innoviva Inc","8.32","4.96","--","--","$13.94","A"
"IVC","Invacare Corp","--","0.22","--","--","$5.89","A"
"JELD","JELD-WEN Holding Inc","26.73","0.29","--","--","$12.38","A"
"JNCE","Jounce Therapeutics Inc","3.73","1.14","--","--","$4.59","A"
"KBAL","Kimball International Inc","8.87","0.49","--","--","$10.28","A"
"KRA","Kraton Corp","1.43","0.20","--","--","$10.98","A"
"KSS","Kohls Corp","3.99","0.14","--","--","$17.54","A"
"LCI","Lannett Company Inc","--","0.50","--","--","$6.76","A"
"LDL","Lydall Inc","--","0.21","--","--","$9.79","A"
"LILA","Liberty Latin America Ltd","--","0.43","--","--","$9.08","A"
"LPG","Dorian LPG Ltd","6.16","1.49","--","--","$7.53","A"
"MCBC","Macatawa Bank Corp","7.21","2.67","--","--","$6.51","A"
"MDU","MDU Resources Group Inc","12.39","0.73","--","--","$19.86","A"
"MOD","Modine Manufacturing Co","13.00","0.09","--","--","$3.54","A"
"MRLN","Marlin Business Services Corp","9.36","0.72","--","--","$7.38","A"
"MVBF","MVB Financial Corp","6.89","1.20","--","--","$12.92","A"
"NATR","Natures Sunshine Products Inc","22.29","0.48","--","--","$9.05","A"
"NBN","Northeast Bank","12.67","1.96","--","--","$15.01","A"
"NCR","NCR Corp","4.71","0.30","--","--","$16.33","A"
"NMRK","Newmark Group Inc","6.53","0.28","--","--","$3.57","A"
"NPTN","NeoPhotonics Corp","133.58","1.00","--","--","$7.67","A"
"NVT","nVent Electric PLC","15.80","1.32","--","--","$17.05","A"
"NWL","Newell Brands Inc","--","0.52","--","--","$11.70","A"
"NWSA","News Corp","--","0.67","--","--","$10.87","A"
"NX","Quanex Building Products Corp","--","0.38","--","--","$10.21","A"
"NXGN","NextGen Healthcare Inc","37.87","1.12","--","--","$9.20","A"
"OEC","Orion Engineered Carbons SA","5.04","0.30","--","--","$7.06","A"
"OMI","Owens & Minor Inc","--","0.05","--","--","$6.83","A"
"OPBK","Open Bank","--","--","--","--","$6.15","A"
"OPY","Oppenheimer Holdings Inc","5.43","0.24","--","--","$19.50","A"
"ORRF","Orrstown Financial Services Inc","7.26","1.35","--","--","$12.47","A"
"OSMT","Osmotica Pharmaceuticals PLC","--","1.03","--","--","$4.04","A"
"PDCO","Patterson Companies Inc","29.29","0.25","--","--","$14.88","A"
"PDLI","PDL BioPharma Inc","--","6.84","--","--","$3.18","A"
"PDM","Piedmont Office Realty Trust Inc","9.14","3.19","--","--","$13.60","A"
"PEBK","Peoples Bancorp of North Carolina Inc","6.74","1.31","--","--","$14.50","A"
"PFBI","Premier Financial Bancorp Inc","7.32","2.25","--","--","$11.62","A"
"PLAB","Photronics Inc","20.90","1.23","--","--","$11.09","A"
"PRGX","PRGX Global Inc","--","0.53","--","--","$3.75","A"
"QRTEA","Qurate Retail Inc","--","0.23","--","--","$7.42","A"
"QUAD","Quad/Graphics Inc","--","0.04","--","--","$2.65","A"
"RAD","Rite Aid Corp","--","0.03","--","--","$12.81","A"
"RCM","R1 RCM Inc","1,981.17","0.88","--","--","$9.47","A"
"RDNT","RadNet Inc","363.11","0.65","--","--","$14.96","A"
"RGP","Resources Connection Inc","9.68","0.46","--","--","$10.11","A"
"RLGT","Radiant Logistics Inc","16.86","0.21","--","--","$3.41","A"
"RLGY","Realogy Holdings Corp","--","0.08","--","--","$3.94","A"
"RPT","RPT Realty","7.40","1.80","Bearish","--","$5.09","A"
"RVI","Retail Value Inc","6.14","0.96","--","--","$11.01","A"
"RYI","Ryerson Holding Corp","2.20","0.04","--","--","$4.00","A"
"SEM","Select Medical Holdings Corp","11.90","0.34","--","--","$14.24","A"
"SGRY","Surgery Partners Inc","--","0.27","--","--","$9.87","A"
"SITC","Site Centers Corp","13.99","1.77","Bearish","--","$4.65","A"
"SOI","Solaris Oilfield Infrastructure Inc","10.48","1.09","--","--","$5.63","A"
"SONA","Southern National Bancorp of Virginia Inc","7.58","2.15","--","--","$8.47","A"
"SPKE","Spark Energy Inc","21.68","0.31","--","--","$6.47","A"
"SPTN","SpartanNash Co","108.91","0.07","--","--","$17.77","A"
"SRT","Startek Inc","--","0.19","--","--","$3.20","A"
"TBBK","Bancorp Inc","7.17","1.40","--","--","$5.86","A"
"TDS","Telephone and Data Systems Inc","15.42","0.36","--","--","$17.56","A"
"TG","Tredegar Corp","74.56","0.49","--","--","$13.83","A"
"THC","Tenet Healthcare Corp","--","0.10","--","--","$17.16","A"
"TILE","Interface Inc","--","0.33","--","--","$7.50","A"
"TK","Teekay Corp","--","0.15","--","--","$2.86","A"
"TNK","Teekay Tankers Ltd","13.52","0.58","--","--","$16.28","A"
"TPR","Tapestry Inc","--","0.58","--","--","$12.20","A"
"TSBK","Timberland Bancorp Inc","5.89","2.08","--","--","$16.67","A"
"TTMI","TTM Technologies Inc","28.87","0.43","--","--","$10.32","A"
"TZOO","Travelzoo","13.38","0.46","--","--","$4.51","A"
